ts,mmsi,longitude,latitude,is_menifot,sog,cog,heading
2024-04-03 9:15:18,224772000,33.71802,34.433417,NO,7.90,354,511
2024-04-03 8:16:00,224772000,33.730827,34.32557,NO,6.50,352.7,511
2024-04-03 10:07:01,224772000,33.714373,34.533067,NO,5.90,358.1,511
2024-04-03 7:57:59,224772000,33.735777,34.293463,NO,6.13,0,511
2024-04-03 10:10:23,224772000,33.713853,34.53881,NO,7.80,354.5,511
2024-04-03 7:56:58,224772000,33.736333,34.291243,NO,22.00,348.2,511
2024-04-03 6:34:09,224772000,33.76797,34.14402,NO,6.40,349.7,511
2024-04-03 2:14:56,224772000,33.819267,33.70829,NO,6.30,355.7,136
2024-04-03 6:45:07,224772000,33.763457,34.16392,NO,27.70,321.2,511
2024-04-03 9:14:18,224772000,33.71738,34.43324,NO,6.60,357,511
2024-04-03 1:35:57,224772000,33.831213,33.64087,NO,6.10,349.2,181
2024-04-03 9:23:26,224772000,33.71936,34.45023,NO,33.80,78.3,511
2024-04-03 10:04:28,224772000,33.714827,34.52785,NO,5.80,3,511
2024-04-03 4:07:30,224772000,33.79723,33.903017,NO,16.90,43.4,511
2024-04-03 4:02:43,224772000,35.49079,33.818273,YES,0.00,53.7,511
2024-04-03 2:15:30,224772000,33.81793,33.708513,NO,22.70,260,135
2024-04-03 4:08:32,224772000,33.797127,33.90476,NO,6.00,358.9,511
2024-04-03 8:12:00,224772000,33.732013,34.31836,NO,2.60,0,511
2024-04-03 4:49:53,224772000,33.79354,33.97197,NO,5.50,355.9,511
2024-04-03 0:36:07,224772000,33.845757,33.538357,NO,7.30,352.4,350
2024-04-03 9:24:31,224772000,33.71692,34.450827,NO,26.00,71.3,511
2024-04-03 8:20:02,224772000,33.729593,34.332743,NO,5.30,268.2,511
2024-04-03 7:58:35,224772000,33.73563,34.29448,NO,0.00,0,511
2024-04-03 0:29:27,224772000,33.847073,33.52752,NO,9.00,347.6,352
2024-04-03 7:56:52,224772000,33.737237,34.28593,NO,6.50,0,511
2024-04-03 6:37:49,224772000,33.7672,34.148607,NO,3.00,14.3,511
2024-04-03 10:10:54,224772000,33.713853,34.539777,NO,4.10,3.7,511
2024-04-03 6:46:29,224772000,33.763913,34.16567,NO,8.70,359.2,511
2024-04-03 10:13:37,224772000,33.713297,34.544703,NO,10.00,9.3,511
2024-04-03 3:35:50,224772000,33.801247,33.84889,NO,6.10,0,511
